"FIT.Number";"year.of.record";"Service.type";"Reason.for.force";"UOF.effective";"District.or.division";"Force.type";"Force.level";"Month.occurred";"Officer.primary.key";"Officer.sex";"Officer.race";"Officer.age.at.time.of.UOF";"Officer.years.exp.at.time.of.UOF";"Officer.injured";"Citizen.race";"Citizen.sex";"Citizen.age";"Citizen.injured";"Disposition"
"56";"FTN2019-0009";2019;"Traffic Stop";"Resisting Lawful Arrest";"Yes";"3rd District";"Hands / Escort tech";"L1";1;"ec1e1f835352855fc69416b86745549c";"M";"White";"28";"3";"No";"Black / African American";"M";"40";"Yes";"UOF Justified With Training"
"57";"FTN2019-0009";2019;"Traffic Stop";"Resisting Lawful Arrest";"Yes";"3rd District";"L2-Taser";"L2";1;"4df0dcfef17322c290dad0a252d19b0a";"M";"White";"32";"5";"No";"Black / African American";"M";"40";"Yes";"UOF Justified With Training"
"58";"FTN2019-0008";2019;"Call for Service";"Resisting Officer w/Weapon";"No";"8th District";"L2-Taser";"L2";1;"27e718756fd3dc8899f69612e8de860d";"M";"Black / African American";"47";"23";"No";"White";"F";"NULL";"No";"UOF Justified"
"59";"FTN2019-0006";2019;"Call for Service";"Resisting Lawful Arrest";"Yes";"2nd District";"L2-Taser";"L2";1;"3f287dbd929d070547ec24714ae2e301";"M";"White";"31";"7";"No";"Black / African American";"M";"64";"No";"UOF Justified"
"60";"FTN2019-0005";2019;"Arresting";"Flight from an Officer";"Yes";"4th District";"Firearm Exhibited";"L1";1;"4c83d6f2763afacb3eec8cb4c3effc87";"M";"Black / African American";"34";"3";"No";"Black / African American";"M";"39";"Yes";"UOF Justified"
"61";"FTN2019-0002";2019;"Arresting";"Flight from an Officer";"Yes";"8th District";"Takedown (no injury)";"L1";1;"7fc42c0201d4af974ae31e781e35ee71";"M";"White";"27";"4";"No";"Black / African American";"M";"22";"No";"UOF Justified"
"62";"FTN2019-0002";2019;"Arresting";"Flight from an Officer";"Yes";"8th District";"Takedown (no injury)";"L1";1;"5464c20b1384ad9f9f985ad50939f88c";"M";"Black / African American";"33";"3";"No";"Black / African American";"M";"22";"No";"UOF Justified"
"63";"FTN2019-0002";2019;"Arresting";"Flight from an Officer";"Yes";"8th District";"Takedown (no injury)";"L1";1;"c1b7f0916f0a2c51b0e5dfa6c6fb1325";"M";"Black / African American";"38";"4";"No";"Black / African American";"M";"22";"No";"UOF Justified"
"64";"FTN2019-0003";2019;"Other";"Battery on Police Officer";"Yes";"8th District";"Hands / Escort tech";"L1";1;"785422bec2f60223441ae9f6829517a0";"M";"White";"54";"32";"Yes";"White";"M";"43";"Yes";"UOF Justified"
"65";"FTN2019-0001";2019;"Arresting";"refuse verbal commands";"No";"8th District";"Force on handcuffed individual";"L4";12;"996a8cb7bd962fcdca733086b7c60350";"M";"White";"27";"2";"No";"White";"F";"45";"Yes";"UOF Not Justified"
