"","Empl.ID","age.bucket","Officer.sex","Officer.race","Zip"
"281","edff868f78e9b634a12660a0029ec901","46 - 50","Male","White","70129"
"282","c89dde6fae4fe4f7c726223898d8bfc9","51 or older","Male","White","70124"
"283","67d416182060e483f93f77675acf2401","51 or older","Male","White","70124"
"284","2deb58777c059ee46bc0b744c2f5301c","51 or older","Male","White","70124"
"285","60b7e66fdb05ae6962f04c9ddf0f1bea","51 or older","Male","Black / African American","70126"
"286","19d2822e623e9b678a3829a0dac88a1d","51 or older","Male","Black / African American","70131"
"287","c8a69e0e8707fa30d915118d3d509ba4","51 or older","Male","Black / African American","70122"
"288","cc36fe2f86367a49dc2f6cca97e88cf9","46 - 50","Female","Black / African American","70114"
"289","0c65eee20fe448134141531df4370f08","51 or older","Male","Black / African American","70122"
"290","a467369d5dba6f6f6e48c9c79a0252df","51 or older","Male","Black / African American","70129"
"291","e730f61f5ad6c0566dfe387c8e197419","51 or older","Male","Black / African American","70131"
"292","e1976a1b4cfb4332caa4e29fea820644","51 or older","Male","Black / African American","70956"
"293","ffa2d99d6c89ec15451c257c0ef13d35","51 or older","Male","Black / African American","70126"
"294","070d69d1eced9e6d5f08e25a7af22719","51 or older","Male","Black / African American","70126"
"295","2cbd06c0402e1d00f221c38cd51e71af","51 or older","Male","White","70458"
"296","3c828f0c8d89089d24810d17f6ee928e","46 - 50","Male","White","70471"
"297","19087fc88abf744d47bcbcb46b12a4bd","51 or older","Male","Black / African American","70433"
"298","142b851c458ba911074f4bcd63f23492","51 or older","Female","Black / African American","70461"
"299","5a40c2e905d3504c158e77ae79c0b43c","51 or older","Male","Black / African American","70129"
"300","12e851a6a00b8b3d6c0d35a5d619d839","51 or older","Male","Black / African American","70458"
"301","3d78fcf4a4e0b083cd9c1ad60d5df3f5","51 or older","Male","White","70458"
"302","9d12f48301b033db6179e1281dc1daf3","51 or older","Male","Black / African American","70131"
"303","0f1ad662be1f67f29ebdffd0bb9ab9ea","51 or older","Male","Black / African American","70128"
"304","36dd469bf1930caf4e4e18c79280cc8d","46 - 50","Male","White","70445"
"305","c89a47657106d0023f6a455cf2cab3a3","51 or older","Female","Black / African American","70131"
"306","36188e8aaec3ec51051d65c5a249dadc","51 or older","Male","Black / African American","70094"
"307","8ed0ea34042bd4fdf5178681777f7020","51 or older","Male","Black / African American","70114"
"308","917819365b4fc97930f4cf7caae16d1d","51 or older","Male","White","70116"
"309","0fb1024e18d782b66550deb3815e8ef6","51 or older","Male","Black / African American","70127"
"310","5dd26bd08116db39a42e60d6450c0df2","51 or older","Male","Black / African American","70131"
"311","a5971db505d1bcccba6e615e3d9b2ec5","51 or older","Male","Black / African American","70122"
"312","ff5d75e81d25db2035ecc91ee3c93680","51 or older","Male","Black / African American","70058"
"313","8726c794296ea272b404a0f4f91f4c5a","46 - 50","Male","White","70435"
"314","3689fe69d51eb8da0f0fc6b320b3c739","51 or older","Male","Black / African American","70126"
"315","af0f28f132fc2d4a30f0bc0556a9a812","41 - 45","Male","Black / African American","70128"
"316","62860d50c8b9fc5bf06ca311c5b2f4bb","51 or older","Male","White","70454"
"317","6b37b2b528bf44967f197aa8d4ff4c06","51 or older","Male","Black / African American","70128"
"318","0b70c372829795ace7a84723b5dd3713","51 or older","Male","Black / African American","70058"
"319","8723354888c0450c1944d55782bb85a5","41 - 45","Male","Black / African American","70131"
"320","a50ac9a0308f9e55030a4f465e972f6b","51 or older","Female","Black / African American","70126"
"321","9a10037ab787f878c43144409e9ebc76","51 or older","Male","Black / African American","70114"
"322","911ac81ca99e3fcc24b8fca018f2c6bd","51 or older","Male","Black / African American","70126"
"323","f6799f473f10ae3849a2641723cf5fda","51 or older","Male","Black / African American","70127"
"324","db120c145c86b7af4225a8faf76acdf9","41 - 45","Male","White","70043"
"325","76b676195f66d3b99ef764f3f9724725","51 or older","Female","Black / African American","70115"
"326","ee3168514e7e3f3a3512007d4a96e986","51 or older","Male","Black / African American","70126"
