"Action.taken.OIPM";"Action.taken.year";"Allegation.short";"Allegation.simple";"Allegation.primary.key"
"126";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"127";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"128";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"129";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"130";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"131";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"132";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"133";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"134";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"135";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"136";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"137";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"138";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"139";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"140";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"141";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"142";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"143";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"144";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"145";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"146";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"147";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"148";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"149";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"150";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"151";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"152";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"153";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"154";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"155";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"156";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"157";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"158";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
