"","Folder.number","Race","In.Year","In.Month"
"166","e0593475a54c5ae5eb272d024493c20a","Black / African American",2018,1
"167","d244d41ad465e1c5ce2c374cd1415bb3","Black / African American",2018,1
"168","15862d7d36e374cddd07e7abe45afaa2","Black / African American",2018,1
"169","452fb8c1705a5754150b2314f4e1ffad","Black / African American",2018,1
"170","0401be212039c30412194b1d192a9b4c","White",2018,1
"171","8b6089b5c6aaa548cdc0e9630ff30b50","Black / African American",2018,1
"172","09f2e19a5873cdeff5a0b3d926fe6e81","Black / African American",2018,1
"173","e40a828aa881a4537ba7c84c9d6aa329","White",2018,1
"174","a6cf3e7de6d362ddc00f94cff0151221","Black / African American",2018,1
"175","7fa455076988f34b7f74872c2b90b341","Black / African American",2018,1
"176","d791a8b8a27a9c76a2a71003aba8f763","White",2018,1
"177","f80f1ad4013956e3b664079565cadb90","Black / African American",2018,1
"178","83605c3156bd580caea0b25164ce66e4","Asian / Pacific Islander",2018,1
"179","769c20c920c3a0210b56d0f00604ef11","Black / African American",2018,1
"180","6bd067e7dad8f5f4c612454c57423b30","Black / African American",2018,1
"181","a06bc1d19685a4bfb0839257198e449a","White",2018,1
"182","d897d805eac9b6a2f334093c21c6a28f","Black / African American",2018,1
"183","093fab3a15e9ff82da4e73bb721a7a8c","Black / African American",2018,1
"184","b0603e15acaf588d165d884dca024df2","Black / African American",2018,1
"185","8d7034f5d2f7aca879d728817e7fb01d","Black / African American",2018,1
"186","5cc2aabb133bdde7971fa5627558678c","Black / African American",2018,1
"187","8a648fe93696207fef1af54e47b986fc","Black / African American",2018,1
"188","9b6757c3397d00801246389ebef74a51","White",2018,1
"189","6655ae3183aa3ed7989a4ec3f192c1f5","Black / African American",2018,1
"190","606712eccb7ac5d5045951bc552ac189","Black / African American",2018,1
"191","e16f71e86ebb21dce9e8d62a4a479fe0","Black / African American",2018,1
"192","8eff938256a596d51d16eb360a7a6d24","Black / African American",2018,1
"193","1c5a627383f996b1891bd32479c6b1b9","Black / African American",2018,1
"194","3880bfd466b385a747c14ddc438681ad","Black / African American",2018,1
"195","832f965b6e25861ad05e83324c3fe1ba","Black / African American",2018,1
"196","40fc46329540610c3e98bf5f8922db61","Black / African American",2018,1
"197","c3c7a9481dfcf75aae9ced74b701f665","White",2018,1
"198","ea830f20565e45ac3f9481fa8364bb04","Black / African American",2018,1
"199","1346bdd07c52a854a72673981ed6ab58","Black / African American",2018,1
"200","fcceed82e2d6946bea05b37f62e5effa","Black / African American",2018,1
"201","c2fbfc6834faf2d5cc49a33792a226d1","Black / African American",2018,1
"202","6ff5d1c96c8b01bfb801267194cf86b7","Black / African American",2018,1
"203","364894cb828cbc12282396def3aa4792","Black / African American",2018,1
"204","7c024219924a11df7f5fc4ae127213df","Black / African American",2018,1
"205","5e0d584748b832411534f1066d62e3d5","Black / African American",2018,1
"206","a59e273a9382b0d4ec5037fc2e172088","Black / African American",2018,1
"207","f410c5822913b0d3a6f75c87bc85ee40","White",2018,1
"208","f3ad41d783df27dad15209b707dd02a9","Black / African American",2018,1
"209","bf67bfcc44a7f3aada6864af802f6846","Black / African American",2018,1
"210","db2bdcd62969fbe35c59f9ee10d0157b","Black / African American",2018,1
"211","7e48e305aa31f78ed5de7f2ccc8a0921","Black / African American",2018,1
"212","d152c141b78ea0dca53b3a7a0a8b5f48","Black / African American",2018,1
"213","8e9967beff65427a97f67525e189dd99","Black / African American",2018,1
"214","e942b204706a69cdea239a8366fbd1a9","White",2018,1
"215","8fd337b1b6effc98268df64f8d8afbaf","Black / African American",2018,1
"216","59f61fb3fa26598a339c8c0a9785052b","White",2018,1
"217","d1b3683c1edd27f124a9879d053cdbda","Black / African American",2018,1
"218","1b03778d3d1a89e1b85e2bf1b377dab8","Black / African American",2018,1
"219","6f5b8e840d48e62e28baf3d2c6a41c26","Black / African American",2018,1
"220","d17195950d6e1e10b864e2e6a9f5ff58","White",2018,1
"221","b2a617a9f4fa1dd1c173e66c26f92af0","Black / African American",2018,1
"222","44f1f4244682ed03f5edb342e04e0e77","Black / African American",2018,1
"223","5a4c2b08cb82bce533a50faa0783c442","White",2018,1
"224","5e5156807ed5dd2352e870d1d3079136","Black / African American",2018,1
"225","a2591ae34f387e7a0cd75b1d31cfb3e8","Black / African American",2018,1
"226","8743cc84fd05e88756fbed792e992834","Black / African American",2018,1
"227","e05b2b9ec1eed43dc3db511a93bb0241","Black / African American",2018,1
"228","b424fa44b6eb68e306d5f2602355bfa3","Black / African American",2018,1
"229","1971962247920f363aa8604986c608ce","Black / African American",2018,1
"230","4f72bcb657d15a80ccd75fb94af37403","White",2018,1
"231","c710bc4423d35489defe95d572a79389","Black / African American",2018,1
"232","cc6ba6178520984e41590dae845be4ef","White",2018,1
"233","d0cbcdd9b6cafad6f923a422e03ce340","White",2018,1
"234","bf8879b91e1f42ebb68c6644728f3ac8","White",2018,1
"235","01b6fc41cb6b41d217a5fffb185c554c","Black / African American",2018,1
"236","5da71b9e63d2678c278fefdbbeb7b8b8","Asian / Pacific Islander",2018,1
"237","bddab60d5267d1b6655574ffdfb7c11c","Black / African American",2018,1
"238","8eecd50c2da8f0cc3b93fb05771b5b41","Black / African American",2018,1
"239","4ad06367b458cf1d95654d6e662f37c4","Black / African American",2018,1
"240","3cac6814cb3325afa21122a89e21c12c","Black / African American",2018,1
"241","df6c459f01a569e04b8a77381971512f","Black / African American",2018,1
"242","20e678415deac8a80656ec91986ef5a6","Black / African American",2018,1
"243","fdda65c939fbf15cc6be442d27b0c0b8","Black / African American",2018,1
"244","7ea4558df17fbc3549f370027e58d761","Black / African American",2018,1
"245","fb8c699faacbe4b75c4476e8eb3b6943","White",2018,1
"246","1f683086c38010d1293ead22e8d13f4c","Black / African American",2018,1
"247","9695855213e19fe8f3a298f05641fb86","Black / African American",2018,1
"248","e02781df0c01d0f848451ab30fee3469","Black / African American",2018,1
"249","696a0a51b88a74bc389b9a9ab597900c","White",2018,1
"250","ed3e8e04d1ef83dc3973810ec4c74583","Black / African American",2018,1
"251","388c3ad2ca0eff9727f7345e0ad8d434","Black / African American",2018,1
"252","cfb4c41d886f7c435face5820fc22d5c","Black / African American",2018,1
"253","2976afe4b9567f9899f864fb233509bc","Black / African American",2018,1
"254","d02f7a47059eafb2d7ea0e9e7ce93758","Black / African American",2018,1
"255","b374ef06c6498c89e4ccf76f7e0a2d99","Black / African American",2018,1
"256","2fef56f0a0aaf1294edeab7189ffacad","Black / African American",2018,1
"257","17009e4ec226af88accaccab1496db80","Black / African American",2018,1
"258","da3d920e69b14dfc8f9ea725a64813d2","Black / African American",2018,1
"259","15f3f5bd180bd175dfd82f4c744afaca","White",2018,1
"260","349b10a69818291e561f53375e781352","White",2018,1
"261","f86f12a364bc89781b06519709154000","White",2018,1
"262","0ca368ec4a06ddd2506148315a6a688c","White",2018,1
"263","d3d39760f7e66db05cee50d2de11f6e2","White",2018,1
"264","41a3bc75d1b12c484fe7f43b116be155","White",2018,1
"265","bebef0ebdda0ecdf607554ccb51d6c96","White",2018,1
"266","70e6c60a390f3924335c5a94603b11dd","Black / African American",2018,1
"267","774f27a63df65b55cc99d04003921bbf","White",2018,1
"268","8b6b485d713d12436092436bfd77f912","Black / African American",2018,1
"269","df6340f8b345cae2a75f69d0ce95d634","Black / African American",2018,1
"270","f4c72cb4d323900a0db565ec9a2609d7","Black / African American",2018,1
"271","a11a5d475c074bec902d33d608a9089a","Black / African American",2018,1
"272","fb84bfc9c13b2a5547dcc665b6e2f032","Black / African American",2018,1
"273","4a42b546ded45f7dcb4fc8384400fdfb","Black / African American",2018,1
"274","202c48bec9d7c675d41ab629fbc6d737","Black / African American",2018,1
"275","9c44fe333f3fc748855c8ea97c353ca3","Black / African American",2018,1
"276","3d0230e91129ec8fc4abebda7b66120a","Black / African American",2018,1
"277","893f2319f184a4686ae84d9d06ee3767","Black / African American",2018,1
"278","1016804ac784fce57bc420b91a1ed4d0","Black / African American",2018,1
"279","78f4ee9d4c8acc08fa1bdc1e087a53f6","Black / African American",2018,1
"280","ff04d8737a059261528cb968df1085d0","Black / African American",2018,1
"281","95b18aaaeda7c54e2da74e508f3eea93","White",2018,1
"282","3d8a95937f2d5007a3e319d2c47f8722","Asian / Pacific Islander",2018,1
"283","0aa564922617658c519c2be1339a85b3","Black / African American",2018,1
"284","45c945eeae63606e78b4bcbd8ca1e6c4","Black / African American",2018,1
"285","3fc91aba8fc76d58de9481587076d127","Black / African American",2018,1
"286","a5b875738a501e42dc1feaf434945e9f","White",2018,1
"287","77c891ef58837250a546da1831cc9f33","Black / African American",2018,1
"288","3a430454ef76d79a1996f182b4b521e4","White",2018,1
"289","f27e8226614922191f310d5b344c6510","Black / African American",2018,1
"290","c597584ef9c05aa27fff9d9243551b0d","Black / African American",2018,1
"291","793a581f493762fee6fd7bff8760fe4f","Black / African American",2018,1
"292","b41cc9445b93e1dea3124896d9adeefb","Black / African American",2018,1
"293","817225c565c37a63f4bf4529cba7b0f7","Black / African American",2018,1
"294","9060a2d84c1bac1c8adb0340303fb240","Black / African American",2018,1
"295","bdbcae069f15c5d33348125fb66b11d3","White",2018,1
"296","0b963ed2eb685c0baa11c279de679cb3","Black / African American",2018,1
"297","23ff70f2588d2f0b008e09d8bc0853ad","White",2018,1
"298","dbf9cdb1da87c6286af475af1e9d339d","White",2018,1
"299","5ec4d575206dd1c7da422efe7c099778","Black / African American",2018,1
"300","13a3ebb1cfce0963c64e2000d1144112","White",2018,1
"301","715b98a9d7553573dc88210fb7c4a6fb","White",2018,1
"302","7711963b710d7e4f9d8c77db0fd0471f","White",2018,1
"303","73c75b32597424093ed0366addac8dcb","White",2018,1
"304","af5a752127f0ed1f6c0592834b581c73","Black / African American",2018,1
"305","dc5fb2e44449b41829242c81fa704801","White",2018,1
"306","592c63be4e8a443266e54bc498e2269f","White",2018,1
"307","1c5af8fbad3394f0461c349bd27a30e3","Black / African American",2018,1
"308","acf56b31abae9942f55cb48d212ff861","Black / African American",2018,1
"309","8443ea49b82a29fc3eb8b0e1207c29a9","Black / African American",2018,1
"310","2c21cc07265aaea022eac8a390c5657e","Black / African American",2018,1
"311","4eaf4be6b3353863b6e7c383a615856e","Black / African American",2018,1
"312","38128231f6a521b907237954ec2f2530","Black / African American",2018,1
"313","64d438ffcab5a99f923a7030ce73e0e2","White",2018,1
"314","f3b4cc9f7f4196210721b5ef3038e719","Black / African American",2018,1
"315","86b6a95ab38191793764bf6671ac03b0","Black / African American",2018,1
"316","0585836d9cb0e778419044e552c2e432","Black / African American",2018,1
"317","8a93c6ccb900eb22b9d5f769a05e2081","Black / African American",2018,1
"318","e6b82607541d60427aa8b8b80c080ae5","Black / African American",2018,1
"319","97ef0de44c918e6f1d5f9ebf4e68f9ab","Black / African American",2018,1
"320","b20a836eaf90111b86ac32b28d4ad16e","Black / African American",2018,1
"321","b4b93ad2ca796c9772a9ab37bfe9d5ec","Black / African American",2018,1
"322","b3ee7980868738d8268f021876ace90b","White",2018,1
"323","3a95f42d7f93b109bf8795d9fd737e45","Black / African American",2018,1
"324","eed2d1390ea1c746ffb6a4f417d38ea7","Black / African American",2018,1
"325","cbfe2964f768efccec500cba734f9105","Black / African American",2018,1
"326","a80c4d48d6d424ee06921c779a134920","Black / African American",2018,1
"327","87867df90cd32005a37459f6f8891f39","Black / African American",2018,1
"328","c19e871963ecdf2030783b9f46beded9","Black / African American",2018,1
"329","748e4649f73752051c21921393eda7d7","Black / African American",2018,1
"330","4c0e6f770daa4420e4e3e80d20c181bf","Black / African American",2018,1
"331","bff798e23cb2e1ef75e2faac3588c058","Black / African American",2018,1
"332","9f635e7a541a840d50cd8d7ceb6526e8","Black / African American",2018,1
"333","cf43fca8d8d752fd77ac373ee74dcde6","Black / African American",2018,1
"334","6b51fa1312411f61d4d8937ae9370a27","Black / African American",2018,1
"335","d1781970a3431337b03e3744deb3973e","Black / African American",2018,1
"336","e9a7e4e24e7a1b2b00d1e6c6a036b8da","Black / African American",2018,1
"337","9b68369586a90dec8eb9faa57f793eb0","White",2018,1
"338","44d6f1800528a227ebce0216ac268a48","Black / African American",2018,1
"339","e9cdaaf33e8c79608b169c4f8a33bf98","Black / African American",2018,1
"340","6386e4d75b92b538496f30dfa0db002b","Black / African American",2018,1
"341","f80da30940baf0e696fff4806bf140c4","Black / African American",2018,1
"342","55a2cdda8ea75dc4d06356e039307e18","Black / African American",2018,1
"343","5170b653d71b4d04936b3a6f1240227f","Black / African American",2018,1
"344","d5c72da14bcdeec27f8bf479b5a257fc","Black / African American",2018,1
"345","fc0156db5e632ee2a939ab6762892253","Black / African American",2018,1
"346","0252d6e5767af7ae3851c1de99695209","Black / African American",2018,1
"347","3afa53f7a047e780dfef12307e01c3eb","White",2018,1
"348","9938dd47d52ffd7f18a162d24e044217","Black / African American",2018,1
"349","584e7eafec3e57ae863f7448548688f8","White",2018,1
"350","ce926b26f3aef11a879e6fec1615d647","Black / African American",2018,1
"351","aee35a9f4243cf5c1e386132edcc3ca1","Black / African American",2018,1
"352","d0ba004699d2ec947ffcb64d3da48554","White",2018,1
"353","4b2dfd1e57040485241e6b1173115ceb","Black / African American",2018,1
"354","2116d9cfb40e52e36ac45d4013425e05","White",2018,1
"355","4329d00427b1c8e9847645db9983f120","Black / African American",2018,1
"356","d10be81c6378952b91a6761a260698bd","Black / African American",2018,1
"357","172eba105baf35f1b22382db2f5e989c","White",2018,1
"358","1bc485efb7b7454462a2c1836c2ad34a","Black / African American",2018,1
"359","6555011334f10a9751968716b3b72b66","Black / African American",2018,1
"360","21afd2f950ffb30c3fe71926b0cf6722","Black / African American",2018,1
"361","cdb9efdb9114babc4f43d3172ebd1801","Black / African American",2018,1
"362","e68776b60a4c9023e49af7221bdfdf05","White",2018,1
"363","92d4e902ee88e5394822ba547bcb25a0","Black / African American",2018,1
"364","fdf5352bd0dbf6fd15e993a82dd87e4c","White",2018,1
"365","980189f049886a99bb2104a4e3160722","Black / African American",2018,1
"366","509932952e4be4f60f0c72b8e3f250a5","Black / African American",2018,1
"367","31f9591995e1a7d13fdc4f4bf769f821","Black / African American",2018,1
"368","e725ac79e6966ac16df5aa4eeb05ec76","Black / African American",2018,1
"369","a8cb389f55b8e8a61db207dc0be9a47d","White",2018,1
"370","ff1e32d628d7fd00f2a7da676ddfc8a7","White",2018,1
"371","b18762711f13ea649883c4a518e2cd7f","Black / African American",2018,1
"372","956ab37c0734212bcac6e4236dd2aa7b","Black / African American",2018,1
"373","e55ee4924d3be9c9c2a1073e231e1af4","Black / African American",2018,1
"374","10dab7d61f598b996dc2b77973a0e8e5","Black / African American",2018,1
"375","57f7f6cd8ccb5db084f62d907731d557","Black / African American",2018,1
"376","7f76f2af5e666c31d40144cb1686f771","White",2018,1
"377","393a661c811ed04825b28cd534357c82","Black / African American",2018,1
"378","b45056e74759a28fc9fb8c1b47caa2c1","Black / African American",2018,1
"379","c7a476de38ae2cc5a3dc1218a6047459","Black / African American",2018,1
"380","73c8bedb813342ad6c1f03170a4a8b65","Black / African American",2018,1
"381","12335dc492e67e66420920dc776c5663","White",2018,1
"382","ab93545bcdd11613d192a667ced1c242","Black / African American",2018,1
"383","3ea1c93ce731c4d492630bfc3f54c7df","Black / African American",2018,1
"384","181912531ad32c456a3de8b6e7ddcffa","Black / African American",2018,1
"385","bf315a72058eb87d354f7084ec3a2fa3","Black / African American",2018,1
"386","4dbaae66b609d4dc49af50832ea84e76","Black / African American",2018,1
"387","1e3c96646b4fc9cbc4bfd835853aaf69","Black / African American",2018,1
"388","94bc81410c33c1db99e0b65763572bb5","Black / African American",2018,1
"389","bd3fc2ced381ccd00a78b030dab04451","Black / African American",2018,1
"390","9bb1ddf53833b9772941bd56b7ef83d4","Black / African American",2018,1
"391","2613105c87da72bd66ef2434e95c827b","Black / African American",2018,1
"392","5917b080c19bf16ce384916eb6dc2dee","White",2018,1
"393","b5afc56163dce7e2deaf4cadeaf65336","Black / African American",2018,1
"394","2d51db48a53ec8e10a0abab7ddbaac32","Black / African American",2018,1
"395","4c61e61e2075654ebf206155bc760d52","White",2018,1
